productEmbeddingId,productName,productDescription,productDimension,productPrice
1,Rose Milk Tres Leches Cake,"Rose Milk Tres Leches Cake is super moist (Ras Malai Cake) soaked in rich rose-flavored milk and topped with whipped cream. The cake is deliciously light, airy, and fluffy. Can be served as dessert. Available in both variant Egg/Eggless",1Kg,80
2,Saffron Milk Tres Leches Cake,Saffron Milk Tres Leches Cake is an air-light spongy (Ras Malai Cake) soaked in rich saffron-flavored milk and topped with whipped cream and pistachios. Available in both variant Egg/Eggless,1Kg,85
3,Chocolate Truffle Cake,"A Chocolate Truffle Cake has dense, moist chocolate cake layers with silky smooth chocolate ganache frosting. With rich chocolate flavor, it is the perfect indulgence. Available in both variant Egg/Eggless",1Kg,90
4,Carrot Cream Cheese,"A classic Carrot Layer Cake baked with freshly grated carrot, cinnamon, and walnut, topped with cream cheese frosting. It's light in taste which makes it a perfect tea cake. Available in both variant Egg/Eggless",1Kg,75
5,Chocolate Mousse Cake,A decadent cake of moist chocolate layers and creamy chocolate mousse topped with luscious chocolate ganache. Available in both variant Egg/Eggless,1Kg,90
6,Lemon Blueberry Cream Cheese,"A mildly sweet and fluffy vanilla flavor sponge with fresh blueberries and a hint of lemon, layered with cream cheese frosting. Available in both variant Egg/Eggless",1Kg,95
7,Fruit Cake,A melt-in-mouth chiffon cake layered with fresh fruits and whipped cream. Available in both variant Egg/Eggless,1Kg,90
8,Butterscotch Cake,"Experience the timeless allure of buttery, caramelized goodness. With homemade butterscotch sauce and chips giving a classic treat to your taste buds. Available in both variant Egg/Eggless",1Kg,90
9,Chocolate Orange Cake,"Indulge in the rich and harmonious pairing of decadent chocolate and the citrusy zest of fresh oranges, creating a flavor fusion that's simply irresistible. Available in both variant Egg/Eggless",1Kg,90
10,Mango Passion Cake,Immerse yourself in the tropical symphony of ripe mangoes blended with the invigorating essence of passion fruit. Available in both variant Egg/Eggless,1Kg,95
